-1.0472, 70.6858, 0, 42.9351, -1.309, -5.23599, 6.54498
1.0472, 2.61799, -3.14159, 2.0944, 3.92699, -2.61799, -5.23599
1.0472, 0, 3.14159, 0, 0, 14.399, 1.309
-1.0472, 1.74533, 0, 0, -2.61799, -6.54498, -3.92699
0, 2.61799, 0, 2.0944, 0, 1.309, 1.309
0, 1.74533, 0, -2.0944, 1.309, -2.61799, -6.54498
0, -2.61799, 0, 6.28319, -3.92699, -2.61799, 2.61799
-2.0944, 0, 1.0472, -3.14159, 2.61799, 3.92699, 9.16298
2.0944, -5.23599, -2.0944, -5.23599, 1.309, -2.61799, -5.23599
0, 0, 2.0944, -3.14159, -1.309, 5.23599, 2.61799
0, 1.74533, -2.0944, -3.14159, 0, 1.309, -9.16298
0, 0, 1.0472, 4.18879, 0, 3.92699, 6.54498
0, -6.10865, 0, -7.33038, 0, -3.92699, -3.92699
0, -1.74533, 0, 1.0472, 1.309, -6.54498, 2.61799
-1.0472, -5.23599, 1.0472, 2.0944, 1.309, -3.92699, 3.92699
1.0472, 4.36332, -1.0472, -3.14159, -1.309, 6.54498, 0
-1.0472, -2.61799, 2.0944, -4.18879, -1.309, 2.61799, 0
1.0472, 0.872665, -2.0944, 0, 0, 0, -5.23599
-1.0472, -3.49066, 1.0472, -6.28319, -2.61799, 3.92699, 1.309
1.0472, 0, -3.14159, 7.33038, 5.23599, -9.16298, -5.23599
0, -4.36332, 2.0944, -4.18879, -3.92699, 2.61799, 5.23599
-1.0472, 0, 1.0472, 4.18879, 1.309, -6.54498, 6.54498
0, -2.61799, -1.0472, -5.23599, 0, 1.309, -2.61799
1.0472, 3.49066, 0, 2.0944, 1.309, 5.23599, 3.92699
1.0472, -1.74533, -1.0472, -1.0472, 0, 2.61799, -7.85398
-2.0944, -0.872665, 2.0944, -3.14159, -3.92699, 1.309, -1.309
2.0944, 3.49066, -3.14159, 1.0472, 6.54498, -7.85398, -2.61799
-1.0472, -2.61799, 2.0944, 1.0472, -3.92699, 6.54498, 10.472
0, -1.74533, -1.0472, 2.0944, 3.92699, -10.472, -5.23599
-1.0472, 1.74533, 1.0472, -4.18879, -3.92699, 11.781, 5.23599
1.0472, 0.872665, 0, -2.0944, 0, -3.92699, -2.61799
0, 3.49066, -1.0472, 0, 1.309, 2.61799, -9.16298
-1.0472, 2.61799, 2.0944, -3.14159, -3.92699, 3.92699, 5.23599
2.0944, -1.74533, -3.14159, 0, 5.23599, -6.54498, -6.54498
-1.0472, 1.74533, 2.0944, 2.0944, -2.61799, 2.61799, 13.09
0, -0.872665, 0, -1.0472, 1.309, -2.61799, -5.23599
0, -0.872665, 1.0472, 1.0472, -2.61799, 0, 0
